dist,rssi
50,-43
50,-51
50,-41
50,-43
50,-43
50,-49
50,-51
50,-45
50,-52
50,-52
50,-44
50,-52
50,-45
50,-43
50,-44
50,-44
50,-44
50,-52
50,-44
50,-44
50,-52
50,-44
50,-44
50,-44
50,-52
50,-51
50,-44
50,-51
50,-51
50,-42
50,-44
50,-51
50,-42
50,-52
50,-42
50,-42
50,-45
50,-42
50,-42
50,-44
50,-44
50,-44
50,-44
50,-44
50,-51
50,-51
50,-42
50,-44
50,-44
50,-51
50,-51
50,-42
50,-52
50,-51
50,-51
50,-42
50,-51
50,-45
50,-42
50,-44
50,-51
50,-42
50,-52
50,-45
50,-42
50,-44
50,-51
50,-42
50,-44
50,-44
50,-44
50,-44
50,-52
50,-42
50,-42
50,-44
50,-44
50,-51
50,-52
50,-44
50,-44
50,-51
50,-42
50,-44
50,-44
50,-51
50,-52
50,-52
50,-42
50,-44
50,-52
50,-51
50,-52
50,-45
50,-52
50,-51
50,-42
50,-42
50,-44
50,-44
50,-51
50,-42
50,-44
50,-52
50,-42
50,-42
50,-44
50,-52
50,-51
50,-45
50,-45
50,-52
50,-52
50,-45
50,-44
50,-44
50,-51
50,-42
50,-42
50,-44
50,-52
50,-44
50,-42
50,-44
50,-45
50,-44
50,-51
50,-44
50,-42
50,-42
50,-44
50,-53
50,-51
50,-45
50,-44
50,-44
50,-52
50,-42
50,-42
50,-44
50,-44
50,-51
50,-52
50,-44
50,-45
50,-42
50,-44
50,-44
50,-42
50,-44
50,-42
50,-52
50,-51
50,-42
50,-45
50,-44
50,-52
50,-42
50,-45
50,-51
50,-45
50,-45
50,-45
50,-45
50,-52
50,-52
50,-51
50,-45
50,-43
50,-45
50,-44
50,-51
50,-51
50,-45
50,-45
50,-45
50,-51
50,-51
50,-45
50,-42
50,-44
50,-52
50,-51
50,-45
50,-43
50,-44
50,-52
50,-43
50,-43
50,-51
50,-52
50,-43
50,-44
50,-52
50,-51
50,-52
50,-42
50,-44
50,-51
50,-45
50,-44
50,-44
50,-51
50,-51
50,-45
50,-44
50,-51
50,-52
50,-42
50,-42
50,-44
50,-51
50,-51
50,-52
50,-42
50,-43
50,-45
50,-44
50,-51
50,-51
50,-43
50,-42
50,-44
50,-52
50,-51
50,-43
50,-44
50,-44
50,-51
50,-51
50,-51
50,-42
50,-42
50,-44
50,-51
50,-42
50,-45
50,-44
50,-51
50,-51
50,-42
50,-44
50,-44
50,-50
50,-49
50,-42
50,-44
50,-49
50,-44
50,-50
50,-42
50,-44
50,-53
50,-42
50,-42
50,-45
50,-44
50,-51
50,-52
50,-44
50,-44
50,-52
50,-45
50,-45
50,-43
50,-43
50,-45
50,-43
50,-44
50,-44
50,-45
50,-52
50,-43
50,-43
50,-45
50,-51
50,-43
50,-44
50,-44
50,-51
50,-43
50,-45
50,-53
50,-52
50,-43
50,-43
50,-44
50,-45
50,-51
50,-52
50,-51
50,-43
50,-43
50,-44
50,-52
50,-45
50,-45
50,-44
50,-44
50,-44
50,-44
50,-51
50,-52
50,-51
50,-45
50,-52
50,-45
50,-44
50,-51
50,-51
50,-43
50,-42
50,-45
50,-53
50,-42
50,-42
50,-42
50,-45
50,-51
50,-51
100,-65
100,-60
100,-60
100,-59
100,-66
100,-66
100,-63
100,-57
100,-58
100,-58
100,-60
100,-63
100,-63
100,-57
100,-57
100,-59
100,-58
100,-58
100,-58
100,-63
100,-57
100,-57
100,-63
100,-58
100,-58
100,-58
100,-57
100,-58
100,-63
100,-58
100,-59
100,-61
100,-61
100,-59
100,-58
100,-57
100,-60
100,-60
100,-59
100,-57
100,-63
100,-63
100,-58
100,-58
100,-62
100,-58
100,-58
100,-58
100,-58
100,-62
100,-58
100,-58
100,-58
100,-58
100,-63
100,-59
100,-59
100,-58
100,-62
100,-62
100,-59
100,-59
100,-58
100,-62
100,-59
100,-58
100,-62
100,-62
100,-62
100,-62
100,-58
100,-58
100,-59
100,-58
100,-58
100,-62
100,-62
100,-59
100,-58
100,-62
100,-58
100,-58
100,-58
100,-62
100,-59
100,-58
100,-58
100,-62
100,-58
100,-58
100,-58
100,-58
100,-62
100,-62
100,-58
100,-59
100,-58
100,-58
100,-58
100,-62
100,-59
100,-58
100,-58
100,-59
100,-58
100,-57
100,-58
100,-57
100,-62
100,-61
100,-58
100,-59
100,-58
100,-62
100,-62
100,-62
100,-58
100,-59
100,-58
100,-58
100,-62
100,-58
100,-58
100,-62
100,-58
100,-58
100,-58
100,-62
100,-58
100,-58
100,-62
100,-58
100,-58
100,-58
100,-62
100,-62
100,-58
100,-58
100,-58
100,-62
100,-62
100,-58
100,-58
100,-58
100,-58
100,-62
100,-58
100,-58
100,-58
100,-58
100,-62
100,-62
100,-62
100,-59
100,-58
100,-62
100,-58
100,-58
100,-59
100,-62
100,-48
100,-46
100,-45
100,-50
100,-46
100,-58
100,-62
100,-63
100,-62
100,-60
100,-56
100,-68
100,-66
100,-57
100,-57
100,-65
100,-65
100,-58
100,-58
100,-59
100,-59
100,-64
100,-64
100,-66
100,-58
100,-58
100,-58
100,-58
100,-66
100,-58
100,-58
100,-65
100,-66
100,-64
100,-59
100,-58
100,-59
100,-58
100,-64
100,-59
100,-59
100,-58
100,-59
100,-67
100,-58
100,-59
100,-59
100,-59
100,-66
100,-58
100,-58
100,-58
100,-70
100,-59
100,-58
100,-59
100,-58
100,-59
100,-59
100,-68
100,-59
100,-58
100,-58
100,-68
100,-58
100,-59
100,-68
100,-58
100,-68
100,-67
100,-58
100,-59
100,-58
100,-68
100,-68
100,-59
100,-59
100,-69
100,-58
100,-58
100,-58
100,-58
100,-58
100,-69
100,-68
100,-58
100,-57
100,-67
100,-68
100,-59
100,-58
100,-58
100,-68
100,-59
100,-58
100,-59
100,-59
100,-67
100,-68
100,-66
100,-58
100,-58
100,-59
100,-59
100,-58
100,-58
100,-69
100,-58
100,-59
100,-58
100,-69
100,-58
100,-58
100,-68
100,-58
100,-59
100,-58
100,-58
100,-58
100,-58
100,-58
100,-59
100,-59
100,-69
100,-59
100,-58
100,-58
100,-68
100,-58
100,-58
100,-58
100,-59
100,-58
100,-68
100,-58
100,-58
100,-58
100,-59
100,-68
100,-58
100,-58
100,-60
100,-59
100,-69
100,-58
100,-68
100,-68
100,-58
100,-58
100,-58
100,-58
100,-59
100,-69
100,-58
100,-58
100,-59
100,-69
100,-69
100,-70
100,-58
150,-61
150,-59
150,-60
150,-64
150,-66
150,-63
150,-68
150,-67
150,-62
150,-63
150,-64
150,-66
150,-64
150,-66
150,-64
150,-62
150,-60
150,-59
150,-59
150,-64
150,-62
150,-61
150,-61
150,-59
150,-60
150,-62
150,-57
150,-62
150,-64
150,-60
150,-62
150,-65
150,-64
150,-63
150,-69
150,-69
150,-63
150,-64
150,-64
150,-66
150,-63
150,-64
150,-67
150,-67
150,-63
150,-62
150,-61
150,-64
150,-65
150,-64
150,-67
150,-65
150,-61
150,-62
150,-61
150,-62
150,-62
150,-61
150,-61
150,-62
150,-64
150,-63
150,-62
150,-61
150,-61
150,-61
150,-62
150,-64
150,-63
150,-61
150,-62
150,-59
150,-59
150,-62
150,-60
150,-58
150,-60
150,-60
150,-60
150,-63
150,-61
150,-62
150,-61
150,-60
150,-60
150,-64
150,-61
150,-62
150,-58
150,-58
150,-57
150,-60
150,-62
150,-61
150,-61
150,-60
150,-63
150,-61
150,-62
150,-61
150,-61
150,-58
150,-58
150,-62
150,-62
150,-61
150,-59
150,-60
150,-62
150,-62
150,-60
150,-61
150,-59
150,-59
150,-61
150,-60
150,-61
150,-61
150,-62
150,-59
150,-62
150,-61
150,-59
150,-60
150,-61
150,-60
150,-61
150,-59
150,-59
150,-62
150,-60
150,-60
150,-60
150,-60
150,-61
150,-61
150,-60
150,-59
150,-61
150,-61
150,-62
150,-59
150,-59
150,-59
150,-61
150,-61
150,-61
150,-61
150,-59
150,-60
150,-61
150,-61
150,-61
150,-61
150,-59
150,-61
150,-61
150,-61
150,-59
150,-58
150,-63
150,-61
150,-61
150,-62
150,-61
150,-61
150,-64
150,-62
150,-61
150,-62
150,-61
150,-60
150,-67
150,-65
150,-62
150,-61
150,-62
150,-61
150,-66
150,-62
150,-61
150,-61
150,-66
150,-62
150,-61
150,-59
150,-60
150,-63
150,-62
150,-64
150,-66
150,-61
150,-60
150,-65
150,-64
150,-62
150,-61
150,-61
150,-66
150,-64
150,-65
150,-61
150,-61
150,-60
150,-67
150,-61
150,-61
150,-67
150,-66
150,-65
150,-61
150,-59
150,-66
150,-67
150,-61
150,-65
150,-62
150,-61
150,-63
150,-63
150,-59
150,-67
150,-62
150,-62
150,-60
150,-66
150,-67
150,-62
150,-61
150,-69
150,-63
150,-62
150,-66
150,-66
150,-61
150,-63
150,-62
150,-69
150,-69
150,-68
150,-62
150,-62
150,-61
150,-62
150,-62
150,-67
150,-61
150,-61
150,-62
150,-61
150,-61
150,-67
150,-67
150,-61
150,-61
150,-62
150,-62
150,-66
150,-68
150,-69
150,-61
150,-61
150,-62
150,-61
150,-66
150,-67
150,-66
150,-62
150,-67
150,-62
150,-61
150,-65
150,-61
150,-62
150,-66
150,-66
150,-67
150,-62
150,-61
150,-61
150,-62
150,-62
150,-62
150,-61
150,-61
150,-61
150,-67
150,-62
150,-62
150,-68
150,-68
150,-67
150,-68
150,-67
150,-67
150,-67
150,-62
150,-62
150,-61
150,-63
150,-66
150,-67
150,-66
150,-62
150,-62
