x,y,b1,b2,b3
3,1,-52,-47,-50
3,1,-64,-47,-50
3,1,-69,-47,-50
3,1,-69,-47,-50
3,1,-69,-49,-50
3,1,-60,-49,-50
3,1,-60,-49,-51
3,1,-60,-66,-51
3,1,-54,-66,-51
3,1,-54,-66,-53
3,1,-54,-53,-53
3,1,-54,-53,-52
3,1,-54,-65,-52
3,1,-68,-65,-52
3,1,-68,-65,-38
3,1,-68,-46,-38
3,1,-66,-46,-38
3,1,-66,-66,-38
3,1,-50,-66,-38
3,1,-50,-65,-38
3,1,-50,-56,-38
3,1,-50,-56,-37
3,1,-50,-49,-37
3,1,-50,-49,-60
3,1,-50,-48,-60
3,1,-55,-48,-60
3,1,-55,-48,-33
3,1,-55,-56,-33
3,1,-55,-56,-56
3,1,-55,-51,-56
3,1,-49,-51,-56
3,1,-49,-51,-52
3,1,-49,-59,-52
3,1,-73,-59,-52
3,1,-49,-59,-52
3,1,-49,-62,-52
3,1,-65,-62,-52
3,1,-65,-59,-52
3,1,-65,-66,-52
3,1,-52,-66,-52
3,1,-52,-66,-51
3,1,-52,-50,-51
3,1,-88,-50,-51
3,1,-88,-50,-35
3,1,-54,-50,-35
3,1,-54,-62,-35
3,1,-54,-62,-53
3,1,-54,-62,-57
3,1,-61,-62,-57
3,1,-61,-53,-57
3,1,-61,-53,-35
3,1,-64,-53,-35
3,1,-64,-64,-35
3,1,-64,-64,-55
3,1,-47,-64,-55
3,1,-47,-62,-55
3,1,-47,-56,-55
3,1,-68,-56,-55
3,1,-68,-42,-55
3,1,-65,-42,-55
3,1,-65,-54,-55
3,1,-65,-67,-55
3,1,-65,-45,-55
3,1,-65,-45,-45
3,1,-65,-72,-45
3,1,-49,-72,-45
3,1,-49,-72,-56
3,1,-52,-72,-56
3,1,-52,-52,-56
3,1,-60,-52,-56
3,1,-60,-52,-36
3,1,-60,-52,-36
3,1,-49,-52,-36
3,1,-49,-52,-59
3,1,-49,-53,-59
3,1,-47,-53,-59
3,1,-47,-53,-57
3,1,-47,-33,-57
3,1,-47,-46,-57
3,1,-47,-46,-56
3,1,-47,-33,-56
3,1,-72,-33,-56
3,1,-72,-33,-50
3,1,-72,-54,-50
3,1,-72,-54,-56
3,1,-72,-46,-56
3,1,-88,-46,-56
3,1,-88,-46,-52
3,1,-58,-46,-52
3,1,-67,-46,-52
3,1,-67,-46,-45
3,1,-67,-43,-45
3,1,-61,-43,-45
3,1,-61,-43,-62
3,1,-61,-29,-62
3,1,-79,-29,-62
3,1,-79,-33,-62
3,1,-79,-33,-49
3,1,-79,-44,-49
3,1,-77,-44,-49
3,1,-77,-44,-58
3,1,-77,-44,-58
3,1,-77,-49,-58
3,1,-74,-49,-58
3,1,-74,-49,-64
3,1,-74,-57,-64
3,1,-74,-57,-65
3,1,-74,-39,-65
3,1,-84,-39,-65
3,1,-84,-39,-65
3,1,-84,-38,-65
3,1,-73,-38,-65
3,1,-73,-38,-62
3,1,-73,-52,-62
3,1,-78,-52,-62
3,1,-70,-52,-62
3,1,-70,-52,-56
3,1,-70,-43,-56
3,1,-70,-59,-56
3,1,-72,-59,-56
3,1,-72,-59,-46
3,1,-72,-62,-46
3,1,-56,-62,-46
3,1,-56,-51,-46
3,1,-56,-51,-62
3,1,-56,-51,-62
3,1,-68,-51,-62
3,1,-68,-51,-53
3,1,-67,-51,-53
3,1,-67,-51,-69
3,1,-67,-46,-69
3,1,-67,-46,-69
3,1,-67,-46,-44
3,1,-67,-62,-44
3,1,-67,-62,-60
3,1,-67,-60,-60
3,1,-68,-60,-60
3,1,-68,-54,-60
3,1,-68,-54,-44
3,1,-68,-71,-44
3,1,-77,-71,-44
3,1,-77,-41,-44
3,1,-55,-41,-44
3,1,-55,-41,-65
3,1,-55,-61,-65
3,1,-66,-61,-65
3,1,-66,-61,-66
3,1,-66,-59,-66
3,1,-71,-59,-66
3,1,-71,-59,-53
3,1,-67,-59,-53
3,1,-67,-59,-41
3,1,-67,-44,-41
3,1,-67,-44,-58
3,1,-66,-44,-58
3,1,-66,-44,-52
3,1,-66,-49,-52
3,1,-66,-49,-60
3,1,-66,-60,-60
3,1,-66,-60,-55
3,1,-66,-57,-55
