dist,rssi
40,-50
40,-47
40,-47
40,-47
40,-44
40,-47
40,-47
40,-45
40,-48
40,-47
40,-44
40,-43
40,-44
40,-47
40,-43
40,-47
40,-43
40,-46
40,-45
40,-43
40,-46
40,-44
40,-43
40,-44
40,-43
40,-43
40,-46
40,-43
40,-46
40,-43
40,-47
40,-43
40,-44
40,-43
40,-46
40,-43
40,-46
40,-43
40,-44
40,-43
40,-49
40,-43
40,-46
40,-43
40,-43
40,-42
40,-48
40,-44
40,-48
40,-43
40,-42
40,-45
40,-47
40,-44
40,-43
40,-46
40,-44
40,-44
40,-43
40,-44
40,-43
40,-46
40,-47
40,-44
40,-47
40,-42
40,-47
40,-43
40,-44
40,-42
40,-45
40,-42
40,-45
40,-42
40,-45
40,-42
40,-44
40,-47
40,-43
40,-47
40,-43
40,-47
40,-43
40,-45
40,-42
40,-47
40,-45
40,-42
40,-43
40,-48
40,-43
40,-43
40,-43
40,-43
40,-43
40,-42
40,-43
40,-43
40,-41
40,-42
40,-42
40,-46
40,-42
40,-48
40,-42
40,-45
40,-44
40,-43
40,-46
40,-43
40,-48
40,-43
40,-43
40,-42
40,-42
40,-44
40,-42
40,-43
40,-43
40,-43
40,-43
40,-43
40,-42
40,-45
40,-42
40,-43
40,-42
40,-43
40,-43
40,-47
40,-43
40,-44
40,-45
40,-42
40,-47
40,-43
40,-47
40,-43
40,-45
40,-43
40,-43
40,-46
40,-43
40,-42
40,-43
40,-45
40,-42
40,-44
40,-42
40,-45
40,-43
40,-43
40,-45
40,-43
40,-45
40,-44
40,-43
40,-46
40,-44
40,-46
20,-39
20,-39
20,-36
20,-36
20,-35
20,-33
20,-33
20,-33
20,-35
20,-36
20,-35
20,-36
20,-35
20,-36
20,-36
20,-36
20,-36
20,-33
20,-34
20,-37
20,-33
20,-36
20,-33
20,-36
20,-37
20,-35
20,-35
20,-35
20,-35
20,-35
20,-36
20,-35
20,-35
20,-36
20,-35
20,-37
20,-33
20,-36
20,-37
20,-35
20,-34
20,-36
20,-37
20,-39
20,-36
20,-35
20,-40
20,-36
20,-35
20,-37
20,-35
20,-34
20,-37
20,-34
20,-37
20,-36
20,-34
20,-35
20,-34
20,-35
20,-35
20,-37
20,-35
20,-37
20,-36
20,-37
20,-34
20,-37
20,-35
20,-35
20,-35
20,-34
20,-34
20,-37
20,-34
20,-36
20,-34
20,-37
20,-35
20,-37
20,-33
20,-37
20,-35
20,-35
20,-37
20,-36
20,-37
20,-36
20,-35
20,-35
20,-35
20,-34
20,-36
20,-34
20,-37
20,-34
20,-35
20,-34
20,-35
20,-34
20,-37
20,-33
20,-37
20,-35
20,-37
20,-36
20,-36
20,-35
20,-33
20,-35
20,-38
20,-34
20,-37
20,-37
20,-34
20,-37
20,-35
20,-35
20,-35
20,-35
20,-39
20,-36
20,-35
20,-39
20,-34
20,-34
20,-36
20,-34
