x,y,11,12,13
2,2,-45,-56,-60
2,2,-45,-42,-60
2,2,-45,-42,-49
2,2,-45,-56,-49
2,2,-45,-56,-60
2,2,-45,-63,-60
2,2,-55,-63,-60
2,2,-55,-63,-45
2,2,-55,-43,-45
2,2,-55,-43,-45
2,2,-55,-43,-45
2,2,-55,-56,-45
2,2,-55,-56,-45
2,2,-55,-49,-45
2,2,-55,-42,-45
2,2,-43,-42,-45
2,2,-43,-42,-45
2,2,-43,-48,-45
2,2,-41,-48,-45
2,2,-41,-48,-51
2,2,-41,-57,-51
2,2,-41,-57,-51
2,2,-46,-57,-51
2,2,-46,-62,-51
2,2,-62,-62,-51
2,2,-62,-62,-46
2,2,-62,-43,-46
2,2,-55,-43,-46
2,2,-55,-43,-59
2,2,-55,-61,-59
2,2,-44,-61,-59
2,2,-44,-61,-65
2,2,-44,-55,-65
2,2,-44,-55,-59
2,2,-44,-43,-59
2,2,-44,-56,-59
2,2,-56,-56,-59
2,2,-56,-56,-45
2,2,-56,-61,-45
2,2,-55,-61,-45
2,2,-55,-61,-64
2,2,-41,-61,-64
2,2,-41,-61,-60
2,2,-41,-52,-60
2,2,-40,-52,-60
2,2,-40,-52,-64
2,2,-40,-41,-64
2,2,-55,-41,-64
2,2,-55,-41,-45
2,2,-55,-61,-45
2,2,-55,-61,-45
2,2,-55,-61,-59
2,2,-55,-56,-59
2,2,-40,-56,-59
2,2,-40,-56,-65
2,2,-40,-47,-65
2,2,-41,-47,-65
2,2,-41,-58,-65
2,2,-54,-58,-65
2,2,-54,-58,-49
2,2,-54,-56,-49
2,2,-54,-56,-60
2,2,-54,-58,-60
2,2,-40,-58,-60
2,2,-40,-58,-59
2,2,-40,-41,-59
2,2,-55,-41,-59
2,2,-55,-41,-60
2,2,-55,-57,-60
2,2,-55,-57,-45
2,2,-55,-42,-45
2,2,-56,-42,-45
2,2,-56,-42,-61
2,2,-56,-57,-61
2,2,-55,-57,-61
2,2,-59,-57,-61
2,2,-59,-57,-64
2,2,-59,-47,-64
2,2,-41,-47,-64
2,2,-41,-47,-45
2,2,-41,-46,-45
2,2,-59,-46,-45
2,2,-59,-46,-65
2,2,-59,-47,-65
2,2,-41,-47,-65
2,2,-41,-41,-65
2,2,-59,-41,-65
2,2,-59,-57,-65
2,2,-56,-57,-65
2,2,-56,-61,-65
2,2,-56,-61,-45
2,2,-45,-61,-45
2,2,-45,-57,-45
2,2,-45,-57,-50
2,2,-45,-61,-50
2,2,-45,-61,-59
2,2,-43,-61,-59
2,2,-43,-61,-60
2,2,-43,-43,-60
2,2,-41,-43,-60
2,2,-41,-43,-45
2,2,-55,-43,-45
2,2,-55,-57,-45
2,2,-55,-57,-65
2,2,-59,-57,-65
2,2,-59,-61,-65
2,2,-45,-61,-65
2,2,-45,-43,-65
2,2,-44,-43,-65
2,2,-44,-47,-65
2,2,-44,-47,-45
2,2,-41,-47,-45
2,2,-41,-47,-65
2,2,-59,-47,-65
2,2,-59,-41,-65
2,2,-59,-57,-65
2,2,-59,-57,-49
2,2,-55,-57,-49
2,2,-55,-43,-49
2,2,-55,-43,-45
2,2,-41,-43,-45
2,2,-41,-57,-45
2,2,-41,-57,-60
2,2,-56,-57,-60
2,2,-56,-47,-60
2,2,-56,-47,-60
2,2,-56,-56,-60
2,2,-55,-56,-60
2,2,-55,-44,-60
2,2,-44,-44,-60
2,2,-44,-44,-45
2,2,-44,-41,-45
2,2,-46,-41,-45
